단축코드,한글 종목명,한글 종목약명,시장구분
20,동화약품보통주,동화약품,KOSPI
40,KR모터스보통주,KR모터스,KOSPI
50,경방보통주,경방,KOSPI
60,메리츠화재해상보험보통주,메리츠화재,KOSPI
70,삼양홀딩스보통주,삼양홀딩스,KOSPI
75,삼양홀딩스1우선주,삼양홀딩스우,KOSPI
80,하이트진로보통주,하이트진로,KOSPI
87,하이트진로2우선주(신형),하이트진로2우B,KOSPI
100,유한양행보통주,유한양행,KOSPI
105,유한양행1우선주,유한양행우,KOSPI
120,씨제이대한통운보통주,CJ대한통운,KOSPI
140,하이트진로홀딩스보통주,하이트진로홀딩스,KOSPI
145,하이트진로홀딩스1우선주,하이트진로홀딩스우,KOSPI
150,두산보통주,두산,KOSPI
155,두산1우선주,두산우,KOSPI
157,두산2우선주(신형),두산2우B,KOSPI
180,성창기업지주보통주,성창기업지주,KOSPI
210,DL보통주,DL,KOSPI
215,DL1우선주,DL우,KOSPI
220,유유제약보통주,유유제약,KOSPI
225,유유제약1우선주,유유제약1우,KOSPI
227,유유제약2우선주(신형),유유제약2우B,KOSPI
230,일동홀딩스보통주,일동홀딩스,KOSPI
240,한국앤컴퍼니보통주,한국앤컴퍼니,KOSPI
250,삼천당제약,삼천당제약,KOSDAQ
270,기아보통주,기아,KOSPI
300,대유플러스보통주,대유플러스,KOSPI
320,노루홀딩스보통주,노루홀딩스,KOSPI
325,노루홀딩스1우선주,노루홀딩스우,KOSPI
370,한화손해보험보통주,한화손해보험,KOSPI
390,삼화페인트공업보통주,삼화페인트,KOSPI
400,롯데손해보험보통주,롯데손해보험,KOSPI
430,대원강업보통주,대원강업,KOSPI
440,중앙에너비스,중앙에너비스,KOSDAQ
480,조선내화보통주,조선내화,KOSPI
490,대동보통주,대동,KOSPI
500,가온전선보통주,가온전선,KOSPI
520,삼일제약보통주,삼일제약,KOSPI
540,흥국화재해상보험보통주,흥국화재,KOSPI
545,흥국화재해상보험1우선주,흥국화재우,KOSPI
547,흥국화재해상보험2우선주(신형),흥국화재2우B,KOSPI
590,CS홀딩스보통주,CS홀딩스,KOSPI
640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,KOSPI
650,천일고속보통주,천일고속,KOSPI
660,에스케이하이닉스보통주,SK하이닉스,KOSPI
670,영풍보통주,영풍,KOSPI
680,LS네트웍스보통주,LS네트웍스,KOSPI
700,유수홀딩스보통주,유수홀딩스,KOSPI
720,현대건설보통주,현대건설,KOSPI
725,현대건설1우선주,현대건설우,KOSPI
760,이화산업보통주,이화산업,KOSPI
810,삼성화재해상보험보통주,삼성화재,KOSPI
815,삼성화재해상보험1우선주,삼성화재우,KOSPI
850,화천기공보통주,화천기공,KOSPI
860,강남제비스코보통주,강남제비스코,KOSPI
880,한화보통주,한화,KOSPI
885,한화1우선주,한화우,KOSPI
890,보해양조보통주,보해양조,KOSPI
910,유니온보통주,유니온,KOSPI
950,전방보통주,전방,KOSPI
970,한국주철관공업보통주,한국주철관,KOSPI
990,DB하이텍보통주,DB하이텍,KOSPI
